,id,retweet_count,favorite_count
233,847251039262605312,4773,21935
234,847157206088847362,6528,21492
235,847116187444137987,3564,23028
236,846874817362120707,4381,21597
237,846514051647705089,12992,48198
238,846505985330044928,3468,15250
239,846153765933735936,10154,34263
240,846139713627017216,10908,33099
241,846042936437604353,3206,17192
242,845812042753855489,9815,31600
243,845677943972139009,5333,27040
244,845459076796616705,14970,0
245,845397057150107648,2056,8215
246,845306882940190720,6013,25123
247,845098359547420673,8595,0
248,844979544864018432,2891,14678
249,844973813909606400,3597,16307
250,844704788403113984,11580,41876
251,844580511645339650,3516,17787
252,844223788422217728,2437,14700
253,843981021012017153,3268,16275
254,843856843873095681,5200,23113
255,843604394117681152,3066,18234
256,843235543001513987,6809,23218
257,842892208864923648,56373,0
258,842846295480000512,4008,16380
259,842765311967449089,1435,7292
260,842535590457499648,3921,19561
261,842163532590374912,6521,26494
262,842115215311396866,3363,15145
263,841833993020538882,17399,0
264,841680585030541313,8703,27739
265,841439858740625411,4138,13703
266,841320156043304961,6056,21340
267,841314665196081154,5283,17224
268,841077006473256960,5956,24841
269,840761248237133825,1960,0
270,840728873075638272,18176,0
271,840698636975636481,3,195
272,840696689258311684,1108,13323
273,840632337062862849,1960,9722
274,840370681858686976,5117,17859
275,840268004936019968,6460,20863
276,839990271299457024,2579,14575
277,839549326359670784,8762,29844
278,839290600511926273,159,0
279,839239871831150596,7375,29552
280,838952994649550848,4479,21237
281,838921590096166913,2341,12135
282,838916489579200512,37,0
283,838831947270979586,12544,0
284,838561493054533637,1494,11849
285,838476387338051585,5452,24569
286,838201503651401729,11466,0
287,838150277551247360,366,1819
288,838085839343206401,0,150
289,838083903487373313,3557,19124
290,837820167694528512,8882,37150
291,837482249356513284,494,4189
292,837471256429613056,2611,13909
293,837366284874571778,5969,22964
294,837110210464448512,2718,17408
295,837012587749474308,86,0
296,836989968035819520,2598,13823
297,836753516572119041,5201,20944
298,836677758902222849,2511,13733
299,836648853927522308,622,0
300,836397794269200385,31140,0
301,836380477523124226,3321,15976
302,836260088725786625,4832,23100
